vid_num,awgn,filter_str,br,psnr
videoSRC01_1280x720_30.yuv,20,10,500,26.086470801266106
videoSRC01_1280x720_30.yuv,20,10,1000,28.463175201191895
videoSRC01_1280x720_30.yuv,20,10,2000,25.41332862299376
videoSRC01_1280x720_30.yuv,20,10,3000,25.421197298577884
videoSRC01_1280x720_30.yuv,20,10,4000,26.140163402172323
videoSRC01_1280x720_30.yuv,20,20,500,26.27036089300147
videoSRC01_1280x720_30.yuv,20,20,1000,28.55815442041462
videoSRC01_1280x720_30.yuv,20,20,2000,25.488992517684288
videoSRC01_1280x720_30.yuv,20,20,3000,25.471803300999483
videoSRC01_1280x720_30.yuv,20,20,4000,26.21508963475424
videoSRC01_1280x720_30.yuv,20,30,500,26.594655277240033
videoSRC01_1280x720_30.yuv,20,30,1000,28.858640551287177
videoSRC01_1280x720_30.yuv,20,30,2000,26.152835329707557
videoSRC01_1280x720_30.yuv,20,30,3000,26.33180769614915
videoSRC01_1280x720_30.yuv,20,30,4000,26.8991633445548
videoSRC01_1280x720_30.yuv,20,40,500,27.231355645692048
videoSRC01_1280x720_30.yuv,20,40,1000,29.475402085514986
videoSRC01_1280x720_30.yuv,20,40,2000,26.818123959921973
videoSRC01_1280x720_30.yuv,20,40,3000,27.089448080883493
videoSRC01_1280x720_30.yuv,20,40,4000,27.588801749005828
videoSRC01_1280x720_30.yuv,20,50,500,27.817470752057982
videoSRC01_1280x720_30.yuv,20,50,1000,29.723982249474357
videoSRC01_1280x720_30.yuv,20,50,2000,27.742800845879596
videoSRC01_1280x720_30.yuv,20,50,3000,27.84322545448075
videoSRC01_1280x720_30.yuv,20,50,4000,28.08410205278598
videoSRC01_1280x720_30.yuv,25,10,500,32.52006352274948
videoSRC01_1280x720_30.yuv,25,10,1000,32.47815419091907
videoSRC01_1280x720_30.yuv,25,10,2000,29.255068046021073
videoSRC01_1280x720_30.yuv,25,10,3000,28.529062492926933
videoSRC01_1280x720_30.yuv,25,10,4000,28.50614241983276
videoSRC01_1280x720_30.yuv,25,20,500,30.68665505731304
videoSRC01_1280x720_30.yuv,25,20,1000,30.806426288644108
videoSRC01_1280x720_30.yuv,25,20,2000,30.921877713177704
videoSRC01_1280x720_30.yuv,25,20,3000,29.992312028284044
videoSRC01_1280x720_30.yuv,25,20,4000,30.24410922530192
