vid_num,awgn,filter_str,br,psnr
videoSRC01_1280x720_30.yuv,0,0,0,100
videoSRC02_1280x720_30.yuv,0,0,0,100
videoSRC03_1280x720_30.yuv,0,0,0,100
videoSRC04_1280x720_30.yuv,0,0,0,100
videoSRC05_1280x720_25.yuv,0,0,0,100
videoSRC06_1280x720_25.yuv,0,0,0,100
videoSRC07_1280x720_25.yuv,0,0,0,100
videoSRC08_1280x720_25.yuv,0,0,0,100
videoSRC09_1280x720_25.yuv,0,0,0,100
videoSRC10_1280x720_30.yuv,0,0,0,100
videoSRC11_1280x720_30.yuv,0,0,0,100
videoSRC12_1280x720_30.yuv,0,0,0,100
videoSRC13_1280x720_30.yuv,0,0,0,100
videoSRC14_1280x720_30.yuv,0,0,0,100
videoSRC15_1280x720_30.yuv,0,0,0,100
videoSRC16_1280x720_30.yuv,0,0,0,100
videoSRC17_1280x720_24.yuv,0,0,0,100
videoSRC18_1280x720_25.yuv,0,0,0,100
videoSRC19_1280x720_30.yuv,0,0,0,100
videoSRC20_1280x720_25.yuv,0,0,0,100
videoSRC21_1280x720_24.yuv,0,0,0,100
videoSRC22_1280x720_24.yuv,0,0,0,100
videoSRC23_1280x720_24.yuv,0,0,0,100
videoSRC24_1280x720_24.yuv,0,0,0,100
videoSRC25_1280x720_24.yuv,0,0,0,100
videoSRC26_1280x720_30.yuv,0,0,0,100
videoSRC27_1280x720_30.yuv,0,0,0,100
videoSRC28_1280x720_30.yuv,0,0,0,100
videoSRC29_1280x720_24.yuv,0,0,0,100
videoSRC30_1280x720_30.yuv,0,0,0,100
